"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/31/2026","3/31/2026","3/31/2026","VG","Cash Div: R/D 2026-03-16 P/D 2026-03-31 - 1.44512 shares at 0.018","CDIV","","","$0.03"
"3/31/2026","3/31/2026","3/31/2026","AMKR","Cash Div: R/D 2026-03-12 P/D 2026-03-31 - 100 shares at 0.08352","CDIV","","","$8.35"
"3/31/2026","3/31/2026","3/31/2026","","Gold Deposit Boost Payment","GDBP","","","$0.87"
"3/31/2026","3/31/2026","4/1/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","5","$68.94","($344.70)"
"3/31/2026","3/31/2026","4/1/2026","NVO","NVO 1/15/2027 Put $70.00","OEXCS","1S","",""
"3/31/2026","3/31/2026","4/1/2026","NVO","Novo Nordisk
CUSIP: 670100205
1 NVO Option Exercised","Sell","100","$70.00","$6,999.98"
"3/30/2026","3/30/2026","3/31/2026","","Mark to market","MTM","","","$12.00"
"3/30/2026","3/30/2026","3/31/2026","NVO","NVO 1/15/2027 Put $80.00","OASGN","1","",""
"3/30/2026","3/30/2026","3/31/2026","NVO","Novo Nordisk
CUSIP: 670100205
1 NVO Option Assigned","Buy","100","$80.00","($8,000.00)"
"3/30/2026","3/30/2026","3/31/2026","CIFR","Cipher Mining
CUSIP: 17253J106","Sell","100","$12.04","$1,204.48"
"3/30/2026","3/30/2026","3/31/2026","CIFR","CIFR 1/15/2027 Call $35.00","BTC","1","$1.05","($105.04)"
"3/30/2026","3/30/2026","3/31/2026","CIFR","CIFR 5/1/2026 Call $19.00","BTC","1","$0.21","($21.04)"
"3/30/2026","3/30/2026","3/31/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","2","$67.01","($134.02)"
"3/30/2026","3/30/2026","3/31/2026","ABCL","Abcellera Biologics
CUSIP: 00288U106","Sell","100","$3.28","$327.98"
"3/30/2026","3/30/2026","3/31/2026","GRAB","Grab
CUSIP: G4124C109","Sell","100","$3.56","$355.48"
"3/30/2026","3/30/2026","3/31/2026","PPTA","Perpetua Resources
CUSIP: 714266103","Sell","1","$26.48","$26.48"
"3/30/2026","3/30/2026","3/31/2026","TOI","The Oncology Institute
CUSIP: 68236X100","Sell","10","$2.79","$27.90"
"3/30/2026","3/30/2026","3/31/2026","ADBE","ADBE 1/15/2027 Call $410.00","STO","1","$4.55","$454.95"
"3/30/2026","3/30/2026","3/31/2026","ADBE","ADBE 1/15/2027 Call $400.00","BTO","1","$5.30","($530.04)"
"3/30/2026","3/30/2026","3/31/2026","JOBY","JOBY 1/21/2028 Call $32.00","STO","5","$1.04","$519.78"
"3/30/2026","3/30/2026","3/31/2026","JOBY","JOBY 1/21/2028 Call $30.00","BTO","5","$1.12","($560.20)"
"3/27/2026","3/27/2026","3/30/2026","","Mark to market","MTM","","","$41.00"
"3/27/2026","3/27/2026","3/30/2026","SBET","SBET 1/15/2027 Call $55.00","STO","20","$0.16","$319.13"
"3/27/2026","3/27/2026","3/30/2026","SBET","SBET 1/15/2027 Call $50.00","BTO","20","$0.18","($360.80)"
"3/27/2026","3/27/2026","3/30/2026","SBET","SBET 1/15/2027 Call $55.00","STO","12","$0.16","$191.48"
"3/27/2026","3/27/2026","3/30/2026","SBET","SBET 1/15/2027 Call $50.00","BTO","12","$0.18","($216.48)"
"3/27/2026","3/27/2026","3/30/2026","JOBY","JOBY 1/21/2028 Call $32.00","STO","1","$0.98","$97.95"
"3/27/2026","3/27/2026","3/30/2026","JOBY","JOBY 1/21/2028 Call $30.00","BTO","1","$1.08","($108.04)"
"3/27/2026","3/27/2026","3/30/2026","BMNR","BMNR 1/15/2027 Call $75.00","BTO","2","$0.72","($144.08)"
"3/27/2026","3/27/2026","3/30/2026","BMNR","BMNR 1/15/2027 Call $100.00","STO","2","$0.45","$89.91"
"3/27/2026","3/27/2026","3/30/2026","BMNR","BMNR 1/15/2027 Call $100.00","STO","2","$0.45","$89.91"
"3/27/2026","3/27/2026","3/30/2026","BMNR","BMNR 1/15/2027 Call $75.00","BTO","2","$0.72","($144.08)"
"3/27/2026","3/27/2026","3/30/2026","BITF","Bitfarms
CUSIP: 09173B107","Sell","100","$1.92","$191.99"
"3/27/2026","3/27/2026","3/30/2026","BITF","BITF 4/24/2026 Call $3.00","BTC","1","$0.05","($5.04)"
"3/27/2026","3/27/2026","3/30/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","1","$67.88","($67.88)"
"3/27/2026","3/27/2026","3/30/2026","CLSK","CLSK 1/15/2027 Call $20.00","BTC","1","$0.97","($97.04)"
"3/27/2026","3/27/2026","3/30/2026","ONDS","ONDS 1/21/2028 Call $20.00","BTC","1","$2.75","($275.04)"
"3/27/2026","3/27/2026","3/30/2026","ONDS","ONDS 1/21/2028 Call $15.00","STC","1","$3.47","$346.95"
"3/27/2026","3/27/2026","3/30/2026","CVNA","CVNA 5/15/2026 Put $185.00","STO","1","$5.15","$514.95"
"3/27/2026","3/27/2026","3/30/2026","CVNA","CVNA 5/15/2026 Put $200.00","BTO","1","$7.15","($715.04)"
"3/27/2026","3/27/2026","3/30/2026","NBIS","NBIS 1/15/2027 Put $155.00","BTC","1","$66.10","($6,610.04)"
"3/27/2026","3/27/2026","3/30/2026","NBIS","NBIS 1/15/2027 Put $145.00","STC","1","$58.32","$5,831.95"
"3/27/2026","3/27/2026","3/30/2026","WULF","WULF 1/21/2028 Call $22.00","BTC","2","$5.62","($1,124.08)"
"3/27/2026","3/27/2026","3/30/2026","WULF","WULF 1/21/2028 Call $12.00","STC","2","$7.82","$1,563.91"
"3/26/2026","3/26/2026","3/27/2026","","Mark to market","MTM","","","$3.00"
"3/26/2026","3/26/2026","3/27/2026","JOBY","JOBY 1/21/2028 Call $32.00","STO","3","$1.06","$317.87"
"3/26/2026","3/26/2026","3/27/2026","JOBY","JOBY 1/21/2028 Call $30.00","BTO","3","$1.15","($345.12)"
