ticker,strategy,entry_date,exit_date,exit_reason,strike,entry_spot,exit_spot,entry_premium,exit_premium,entry_delta,days_held,pnl_usd,assigned
GRAB,unmanaged_cc,2025-08-21,2025-09-25,ASSIGNED_OTM_END,5.4100002288818345,5.010000228881836,6.25,0.13547792522786195,0.0,0.3228933786521917,35,94.83454765950337,True
CIFR,managed_cc,2025-09-12,2025-10-17,ASSIGNED_RIDE,14.650000381469713,10.850000381469727,18.760000228881836,0.6852993141312615,0.0,0.2990495238222721,35,68.52993141312615,True
CIFR,unmanaged_cc,2025-09-12,2025-10-17,ASSIGNED_OTM_END,14.650000381469713,10.850000381469727,18.760000228881836,0.6852993141312615,0.0,0.2990495238222721,35,68.52993141312615,True
SOFI,managed_cc,2025-07-16,2025-08-20,EXPIRED_OTM,23.889999389648438,21.389999389648438,22.520000457763672,0.556511380797839,0.0,0.28126730192561816,35,166.9534142393517,False
SOFI,managed_cc,2025-08-21,2025-09-25,ASSIGNED_RIDE,25.829999923706055,23.329999923706055,28.1200008392334,0.7539101733889222,0.0,0.31576857386378454,35,226.17305201667665,True
SOFI,unmanaged_cc,2025-07-16,2025-08-20,EXPIRED_OTM,23.889999389648438,21.389999389648438,22.520000457763672,0.556511380797839,0.0,0.28126730192561816,35,166.9534142393517,False
SOFI,unmanaged_cc,2025-08-21,2025-09-25,ASSIGNED_OTM_END,25.829999923706055,23.329999923706055,28.1200008392334,0.7539101733889222,0.0,0.31576857386378454,35,226.17305201667665,True
DLO,managed_cc,2025-05-16,2025-06-20,EXPIRED_OTM,13.165000343322749,11.765000343322754,10.199999809265137,0.35175312488191546,0.0,0.29628694180716897,35,35.175312488191544,False
DLO,managed_cc,2025-08-14,2025-09-18,EXPIRED_OTM,19.350000381469712,15.350000381469727,14.890000343322754,0.8200305526909677,0.0,0.300021742979932,35,82.00305526909676,False
DLO,managed_cc,2025-09-19,2025-10-24,EXPIRED_OTM,18.98999977111815,14.989999771118164,15.130000114440918,0.8204648675950694,0.0,0.3013564889823077,35,82.04648675950695,False
DLO,managed_cc,2025-10-27,2025-12-01,EXPIRED_OTM,17.480000114440912,15.380000114440918,13.0600004196167,0.5290564120170043,0.0,0.3005236188013334,35,52.905641201700426,False
DLO,managed_cc,2025-12-02,2026-01-06,ASSIGNED_NO_CREDIT,14.540000343322749,13.140000343322754,15.140000343322754,0.3793620604254615,0.600000000000005,0.302659976911955,35,-22.063793957454347,True
DLO,unmanaged_cc,2025-05-16,2025-06-20,EXPIRED_OTM,13.165000343322749,11.765000343322754,10.199999809265137,0.35175312488191546,0.0,0.29628694180716897,35,35.175312488191544,False
DLO,unmanaged_cc,2025-08-14,2025-09-18,EXPIRED_OTM,19.350000381469712,15.350000381469727,14.890000343322754,0.8200305526909677,0.0,0.300021742979932,35,82.00305526909676,False
DLO,unmanaged_cc,2025-09-19,2025-10-24,EXPIRED_OTM,18.98999977111815,14.989999771118164,15.130000114440918,0.8204648675950694,0.0,0.3013564889823077,35,82.04648675950695,False
